family,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio
jordan_gamma_1,1,0.00025,0.005,1000.0,125,0.21737754829276756,0.46623765216117796,100,0.29998182256398914,0.5477059636008988,18,1.1013148209664445,1.0494354772764471,1.3800037074664622,0.27238516803101226
jordan_gamma_1,1,0.00025,0.005,10000.0,1250,0.19574190690589394,0.4424272899651353,1000,0.27832582274342554,0.5275659416067583,185,0.949250406949215,0.9742948254759516,1.421902070654881,0.2932059030008043
jordan_gamma_1,1,0.00025,0.005,100000.0,12500,0.19357834276720656,0.43997538881988224,10000,0.27616022276136915,0.5255094887453214,1851,0.9344983627473475,0.96669455504174,1.4266070202567749,0.29551707501068386
jordan_gamma_1,2,1.25e-05,0.00025,1000.0,62,0.049812656153127084,0.2231874910319283,55,0.04505913639742112,0.2122713744182694,14,0.23171504940997203,0.48136789403736935,0.9045720480936942,0.19445925723062668
jordan_gamma_1,2,1.25e-05,0.00025,10000.0,625,0.005610271355219055,0.07490174467406653,555,0.005323325982235264,0.07296112651429708,142,0.03323610321980856,0.1823077157440369,0.9488535661083747,0.1601669710504024
jordan_gamma_1,2,1.25e-05,0.00025,100000.0,6250,0.0012292889898136046,0.0350612177457316,5555,0.0013890873272663661,0.037270461860116066,1428,0.013686170254080145,0.11698790644370104,1.129992490599783,0.10149569247483597
jordan_gamma_1,2,2.5e-05,0.0005,1000.0,62,0.052005666302154877,0.22804750887075018,55,0.048128028975546376,0.2193810132521645,14,0.2577729212681854,0.5077134243529369,0.9254381762156593,0.18670707822515717
jordan_gamma_1,2,2.5e-05,0.0005,10000.0,625,0.007690078191482897,0.08769309089935703,555,0.007990676827524057,0.08939058578801269,142,0.05802239221931056,0.2408783764045884,1.0390891520939392,0.1377171213024316
jordan_gamma_1,2,2.5e-05,0.0005,100000.0,6250,0.0032978760306027954,0.05742713670907505,5555,0.004016681565343629,0.0633772953457595,1428,0.0383472099003114,0.19582443642281064,1.2179601440656482,0.10474507991025994
jordan_gamma_1,2,5e-05,0.001,1000.0,62,0.05944376118752745,0.2438109127736645,55,0.05790369936954344,0.2406318752151166,14,0.3134894914180534,0.5599013229293652,0.9740921202289745,0.18470698685183695
jordan_gamma_1,2,5e-05,0.001,10000.0,625,0.014969242351380242,0.12234885512901313,555,0.01710723678483453,0.13079463591766494,142,0.11385696812242724,0.3374269819122757,1.1428258280057275,0.1502519965790727
jordan_gamma_1,2,5e-05,0.001,100000.0,6250,0.010561288264245225,0.10276812864037772,5555,0.01306798306357622,0.11431527922187926,1428,0.09419340922550819,0.30690944792480435,1.2373474463164973,0.13873564160195326
jordan_gamma_1,2,7.500000000000001e-05,0.0015,1000.0,62,0.06980958613756898,0.2642150376825077,55,0.07095310402392908,0.2663702386227281,14,0.3574394519909113,0.5978624022222098,1.0163805280854503,0.19850384066091625
jordan_gamma_1,2,7.500000000000001e-05,0.0015,10000.0,625,0.02524686017247215,0.1588926057828751,555,0.029652469740908564,0.17219892491217406,142,0.1590662995159515,0.3988311666807792,1.1745012860347703,0.18641578908381504
jordan_gamma_1,2,7.500000000000001e-05,0.0015,100000.0,6250,0.02083016370914639,0.14432658697948342,5555,0.025563298029718417,0.15988526520514146,1428,0.13952678710152147,0.3735328460812,1.2272250178472548,0.1832142670290131
jordan_gamma_1,2,0.0001,0.002,1000.0,62,0.08201884299513644,0.2863893206722912,55,0.08583513857799865,0.29297634474134365,14,0.3872262192289045,0.622275035035879,1.0465294978995072,0.22166664940438385
jordan_gamma_1,2,0.0001,0.002,10000.0,625,0.037419981955425355,0.19344245127537377,555,0.04414962713944819,0.21011812663225463,142,0.1901643621981293,0.43607838996919956,1.179840952142606,0.23216562046178443
jordan_gamma_1,2,0.0001,0.002,100000.0,6250,0.03299970407617868,0.18165820674051222,5555,0.04002234877919567,0.20005586414598217,1428,0.17075401077797175,0.41322392328853824,1.2128093235868256,0.2343859953675465
jordan_gamma_1,2,0.00015000000000000001,0.003,1000.0,62,0.10890122104143143,0.330001850057589,55,0.1172595548997272,0.34243182518528736,14,0.4176716592544527,0.6462752194339906,1.0767515164510033,0.2807457779372353
jordan_gamma_1,2,0.00015000000000000001,0.003,10000.0,625,0.06433168480778974,0.2536369153096405,555,0.0750578944702218,0.2739669587198825,142,0.2225021396791509,0.47170132465274134,1.1667329200918621,0.33733560755171
jordan_gamma_1,2,0.00015000000000000001,0.003,100000.0,6250,0.05991431336580535,0.24477400467738675,5555,0.0708795122494787,0.26623206465314936,1428,0.20327818117931648,0.45086381666675857,1.1830146799267414,0.3486823417952279
jordan_gamma_1,2,0.0002,0.004,1000.0,62,0.135787124052171,0.36849304478126993,55,0.14713065976736672,0.3835761459832542,14,0.4287193267685243,0.6547666200781194,1.0835391116379887,0.3431864405935822
jordan_gamma_1,2,0.0002,0.004,10000.0,625,0.09132031493952107,0.3021925130434589,555,0.10463184440161315,0.32346845967051124,142,0.2345681533574452,0.4843223651220798,1.1457674502207744,0.4460615940569331
jordan_gamma_1,2,0.0002,0.004,100000.0,6250,0.08691312497773446,0.2948103203378987,5555,0.10042404090005339,0.31689752428829954,1428,0.2154445007068135,0.4641599947289873,1.1554531139661608,0.4661248747152516
jordan_gamma_1,2,0.00025,0.005,1000.0,62,0.16047818814746803,0.40059728924128785,55,0.17326693151826178,0.416253446253916,14,0.4325414849206405,0.6576788615431094,1.079691474077722,0.4005787596305393
jordan_gamma_1,2,0.00025,0.005,10000.0,625,0.11614126886381738,0.34079505404834937,555,0.1305985071800444,0.36138415457798423,142,0.2389021355398769,0.48877616097747334,1.1244797689715187,0.5466611124463776
jordan_gamma_1,2,0.00025,0.005,100000.0,6250,0.11174695252984278,0.3342857348584333,5555,0.12637391071091397,0.35549108386978423,1428,0.21982889692899593,0.46885914401768464,1.1308935756182252,0.574873970057414
jordan_gamma_1,3,1.25e-05,0.00025,1000.0,41,0.06632309719978806,0.2575327109316175,38,0.06512192578814593,0.25518997979573166,11,0.2658544945313705,0.515610797531792,0.9818890935080462,0.2449532625090212
jordan_gamma_1,3,1.25e-05,0.00025,10000.0,416,0.00804275094658247,0.08968138573072157,384,0.008247904148831024,0.09081797260912085,116,0.0404367859259311,0.201089000012261,1.0255078397442765,0.20397031959807294
jordan_gamma_1,3,1.25e-05,0.00025,100000.0,4166,0.0023070471626616138,0.04803173078977702,3846,0.002625277840301096,0.05123746520175541,1162,0.019179051681080795,0.1384884532409861,1.137938522796536,0.13688256770749543
jordan_gamma_1,3,2.5e-05,0.0005,1000.0,41,0.07197786001791567,0.26828689870717815,38,0.07143733678092873,0.26727763988206854,11,0.3081291747556721,0.5550938431974112,0.9924904236267595,0.2318421708608873
jordan_gamma_1,3,2.5e-05,0.0005,10000.0,416,0.012668562258165105,0.1125547078454078,384,0.013692402558589827,0.11701453994521291,116,0.07560352480208057,0.2749609514132517,1.0808174029191702,0.18110799191485605
