family,method,workload_layers,target_real,target_imag,ideal_mean_real,ideal_mean_imag,ideal_variance,noisy_mean_real,noisy_mean_imag,noisy_variance,noisy_bias_squared,cx_per_shot,u_per_shot,depth_per_shot,qubits
jordan_gamma_1,split,1,0.9570926343524253,0.23435777509403638,0.9570925701409578,0.2343578040599823,2.5067769083584923,0.7614430412650108,0.18043691106140614,2.787924304666314,0.041186222853296255,8.0,13.0,13.0,3
jordan_gamma_1,dilation,1,0.9570926343524253,0.23435777509403638,0.9570927285688804,0.2343577228310241,1.6470839979366345,0.712349622852397,0.1689384795458581,2.082051751031578,0.06417882590812289,10.0,18.0,17.0,4
jordan_gamma_1,genexp,1,0.9570926343524253,0.23435777509403638,0.9570924535873834,0.2343577354881757,2.506777174984398,0.201953551848419,0.058049617684446275,3.1233994200792607,0.6013196002941572,54.0,82.5,72.0,7
neutral_rank_one,split,1,0.16946424627122392,0.46871555018807287,0.16946418583393097,0.4687156081199646,3.7515876764577936,0.1374920904636383,0.36087382212281227,3.8508659574123474,0.012652057059086145,8.0,13.0,13.0,3
neutral_rank_one,dilation,1,0.16946424627122392,0.46871555018807287,0.16946436722814448,0.4687154144397494,3.7515876624295057,0.12867888036339853,0.3377419002756467,3.869372124744294,0.01881754304361798,10.0,18.0,17.0,4
neutral_rank_one,genexp,1,0.16946424627122392,0.46871555018807287,0.16946432913209636,0.4687154709763514,3.7515877116310143,0.0428592674434185,0.11609923536889255,3.9846839673876016,0.14036708614064833,51.0,78.0,66.0,7
