family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_variance,split_noisy_bias_squared,dilation_noisy_variance,dilation_noisy_bias_squared,genexp_noisy_variance,genexp_noisy_bias_squared,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
jordan_gamma_1,1,1.25e-05,0.00025,2.5501382492172833,0.000762692799450477,1.7156583915517105,0.0012563021002441135,2.7579829538280545,0.02953304084501536,8.0,10.0,54.0
jordan_gamma_1,1,2.5e-05,0.0005,2.5909038988754265,0.0029772887049767443,1.7796321846797665,0.004864576852865642,2.9180366167682807,0.09862773894626288,8.0,10.0,54.0
jordan_gamma_1,1,5e-05,0.001,2.665166680179647,0.01134355810668604,1.8949284617442457,0.018239304892909265,3.075603504335209,0.2796946655783443,8.0,10.0,54.0
jordan_gamma_1,1,7.500000000000001e-05,0.0015,2.7305432473253113,0.024314628727278565,1.9951066821657326,0.03848252075547387,3.1223047978054437,0.4563222867776592,8.0,10.0,54.0
jordan_gamma_1,1,0.0001,0.002,2.787924304666314,0.041186222853296255,2.082051751031578,0.06417882590812289,3.1233994200792607,0.6013196002941572,8.0,10.0,54.0
jordan_gamma_1,1,0.00015000000000000001,0.003,2.8818737747823633,0.08417291116937956,2.2226919324514323,0.1272412903487209,3.0887225623104175,0.7913073588583246,8.0,10.0,54.0
jordan_gamma_1,1,0.0002,0.004,2.952663057956767,0.13602037895087787,2.327900201177974,0.19967745540614767,3.0548408009247567,0.8872869615673605,8.0,10.0,54.0
jordan_gamma_1,1,0.00025,0.005,3.0049501926213398,0.19333794675179686,2.4062222022848454,0.2759196005411407,3.0321826268106222,0.9328602305880765,8.0,10.0,54.0
jordan_gamma_1,2,1.25e-05,0.00025,3.0423488648648958,0.0007425131714352211,2.425871225847097,0.0009523868365648186,3.0826261330159763,0.011527468480259434,16.0,18.0,70.0
jordan_gamma_1,2,2.5e-05,0.0005,3.05014038950007,0.0028098535682827843,2.450385348636763,0.0035755680912416014,3.102375404290337,0.03617467810458988,16.0,18.0,70.0
jordan_gamma_1,2,5e-05,0.001,3.0610792271770944,0.01007151558789689,2.490624040796479,0.012619625900516549,3.100542627435193,0.09202216088696813,16.0,18.0,70.0
jordan_gamma_1,2,7.500000000000001e-05,0.0015,3.067150321754,0.02033941965766575,2.5214037229784028,0.02510939996977631,3.080983024376719,0.13736923596400277,16.0,18.0,70.0
jordan_gamma_1,2,0.0001,0.002,3.0696374161435247,0.03250856208959572,2.544900473323505,0.039564220881207646,3.0606169670092274,0.16861072158538826,16.0,18.0,70.0
jordan_gamma_1,2,0.00015000000000000001,0.003,3.067619056933598,0.059423494316695975,2.5764113692213044,0.0704157118229762,3.031226600903906,0.20115547347560225,16.0,18.0,70.0
jordan_gamma_1,2,0.0002,0.004,3.060548584574041,0.0864234372042026,2.5945526780792556,0.09995697471138025,3.0154104120408216,0.21333286876560845,16.0,18.0,70.0
