sample_id,workload_layers,one_qubit_noise,two_qubit_noise,operator_ratio,dil_vs_split_ideal_ratio,dil_vs_genexp_ideal_ratio,genexp_vs_split_ideal_ratio,split_ideal_factor,dilation_ideal_factor,genexp_ideal_factor,split_noisy_variance,split_noisy_bias_squared,dilation_noisy_variance,dilation_noisy_bias_squared,genexp_noisy_variance,genexp_noisy_bias_squared,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
0,1,1.25e-05,0.00025,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.317976606861288,0.0006768639287490655,3.145062108532519,0.0006798170526994199,4.537166856322752,0.02701665434933518,8.0,11.0,53.5
0,1,2.5e-05,0.0005,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.362818921560196,0.002644383739577159,3.1915210132461973,0.0026572188434602576,4.7169273373501435,0.09040352191945047,8.0,11.0,53.5
0,1,5e-05,0.001,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.445592185117363,0.01009125959397883,3.277567333680251,0.01014939276094474,4.917985618614627,0.25725617788899424,8.0,11.0,53.5
0,1,7.500000000000001e-05,0.0015,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.519859144066828,0.021664224863429987,3.355134096890479,0.021806723438955435,5.00608172818964,0.42089118452372637,8.0,11.0,53.5
0,1,0.0001,0.002,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.586406865316025,0.03675305438715572,3.4249843766756487,0.03702170508437523,5.043007951183314,0.5558743590253602,8.0,11.0,53.5
0,1,0.00015000000000000001,0.003,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.699171238439474,0.07533618443927667,3.5442841966814496,0.0759796735256289,5.062059258419087,0.7337936671892454,8.0,11.0,53.5
0,1,0.0002,0.004,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.788945213624693,0.12208748235687374,3.6404199863093583,0.12324578155920123,5.062597039940331,0.8242949298193898,8.0,11.0,53.5
0,1,0.00025,0.005,0.5302041859540813,0.9968508370308568,0.14906181063930937,6.687499854962685,34.165435560611336,34.05784303611921,228.48134535632528,4.859952962590608,0.17400627635638968,3.7175523563166513,0.17577725332191527,5.0613063049373235,0.8674985644691668,8.0,11.0,53.5
0,2,1.25e-05,0.00025,0.5302041859540813,0.7917356715608701,0.18227008211456389,4.343750013034137,81.12193046850616,64.22712609779694,352.37338652992804,5.1035719737362,0.002078369431047384,3.4609877671867446,0.0028085437578047106,5.211993930118661,0.029560984813569773,16.0,19.0,69.5
0,2,2.5e-05,0.0005,0.5302041859540813,0.7917356715608701,0.18227008211456389,4.343750013034137,81.12193046850616,64.22712609779694,352.37338652992804,5.13136097129839,0.007866635573839757,3.531337077941994,0.010524438563817282,5.2753972526503,0.09376048069901581,16.0,19.0,69.5
0,2,5e-05,0.001,0.5302041859540813,0.7917356715608701,0.18227008211456389,4.343750013034137,81.12193046850616,64.22712609779694,352.37338652992804,5.172714144565074,0.02820738186578279,3.646199562560855,0.03701050512595262,5.289777443091848,0.24304591497693012,16.0,19.0,69.5
