sample_id,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,operator_ratio,dil_vs_split_ideal_ratio,dil_vs_genexp_ideal_ratio,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio,genexp_vs_split_mse_ratio
0,1,1.25e-05,0.00025,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.03522067678363937,0.18767172611674718,90,0.03562495159194964,0.18874573264566707,18,0.2790814797005992,0.5282816291530487,1.011478337307194,0.12765071917408624,7.923796621370931
0,1,1.25e-05,0.00025,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.004131245214238096,0.06427476343198858,909,0.004139731363516272,0.06434074419461025,186,0.05141002454461879,0.22673778808266343,1.002054138362189,0.08052381612701617,12.444195848611729
0,1,1.25e-05,0.00025,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.0010223020572979686,0.03197345863834516,9090,0.0010258084837811053,0.03202824509368419,1869,0.029444244962669987,0.17159325442065018,1.003429931944385,0.03483901472364621,28.801903265746756
0,1,2.5e-05,0.0005,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.03754693511205873,0.1937703153531488,90,0.03811856343508467,0.1952397588481523,18,0.3524550406611251,0.5936792405509267,1.0152243670840222,0.10815156271728434,9.38705222168531
0,1,2.5e-05,0.0005,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.006134638876825316,0.07832393552947474,909,0.006168243060452773,0.07853816308300553,186,0.11576334631380608,0.3402401303694291,1.0054777769812016,0.053283213183317774,18.870441869222752
0,1,2.5e-05,0.0005,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.0029934092533019747,0.054712057659184916,9090,0.0030083212651595094,0.054848165558745075,1869,0.0929272925654377,0.3048397817960079,1.00498161480629,0.032372849591427666,31.043965158767154
0,1,5e-05,0.001,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.04565599707491773,0.21367263997741434,90,0.04656680757961419,0.21579343729505351,18,0.5304776011453625,0.7283389328776558,1.0199494165728524,0.08778279700984748,11.61901250946053
0,1,5e-05,0.001,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.01364773334207272,0.11682351365231539,909,0.013755077396456566,0.1172820420885336,186,0.2836969607847718,0.5326321064156495,1.0078653393712589,0.048485106637754675,20.787111945556664
0,1,5e-05,0.001,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.010446906968788219,0.10221011187151798,9090,0.010509961224495922,0.10251810193568706,1869,0.25988752385936054,0.5097916474986233,1.0060356865334483,0.040440422335100014,24.876982693137354
0,1,7.500000000000001e-05,0.0015,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.05782309801596461,0.24046433834555303,90,0.059085991182182974,0.24307610162700688,18,0.6990068360898175,0.8360662868994405,1.0218406347904376,0.0845284883230968,12.088712989691869
