family,total_cnot_budget,condition_count,dil_vs_split_beneficial_fraction,dil_vs_split_median_mse_ratio,dil_vs_split_min_mse_ratio,dil_vs_split_max_mse_ratio,dil_vs_genexp_beneficial_fraction,dil_vs_genexp_median_mse_ratio,dil_vs_genexp_min_mse_ratio,dil_vs_genexp_max_mse_ratio
jordan_gamma_1,1000.0,32,0.3125,1.0375066373745607,0.870018005542896,1.396605527135352,1.0,0.26384600018488147,0.08253831560745889,0.485085343356441
jordan_gamma_1,10000.0,32,0.03125,1.1117605192836135,0.9488535661083747,1.527511630920168,1.0,0.2642553104839075,0.058078288419121604,0.7158507629492576
jordan_gamma_1,100000.0,32,0.0,1.153274197476368,1.0281957185848047,1.5946320157845866,1.0,0.22963638238965045,0.04602605275669947,0.8446069518766335
neutral_rank_one,1000.0,32,0.0,1.1065566282248507,1.0473384621870823,1.341132644461742,1.0,0.3138678157960112,0.15917707943301745,0.4980475497608854
neutral_rank_one,10000.0,32,0.0,1.117993446337798,1.0300537902308726,1.4420184278458879,1.0,0.30047543280820926,0.11242556141386066,0.7701393297537985
neutral_rank_one,100000.0,32,0.0,1.1350436344420347,1.0274927888269028,1.5115922728347164,1.0,0.25955240362050835,0.07910125046431937,0.8610925365616848
