sample_id,workload_layers,one_qubit_noise,two_qubit_noise,operator_ratio,dil_vs_split_ideal_ratio,dil_vs_split_noisy_ratio,dil_vs_genexp_ideal_ratio,dil_vs_genexp_noisy_ratio,genexp_vs_split_ideal_ratio,genexp_vs_split_noisy_ratio,split_ideal_factor,dilation_ideal_factor,genexp_ideal_factor,split_noisy_factor,dilation_noisy_factor,genexp_noisy_factor,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
0,1,1.25e-05,0.00025,0.5302041859540813,0.9968508370308568,1.001561059893894,0.14906181063930937,0.1417094772373271,6.687499854962685,7.067706969354884,34.165435560611336,34.05784303611921,228.48134535632528,34.549227767824526,34.60316118165789,244.18381788048268,8.0,11.0,53.5
0,1,2.5e-05,0.0005,0.5302041859540813,0.9968508370308568,1.0060776512489815,0.14906181063930937,0.13661363138712143,6.687499854962685,7.364401641576043,34.165435560611336,34.05784303611921,228.48134535632528,34.92370644534768,35.13596055344431,257.1922010760383,8.0,11.0,53.5
0,1,5e-05,0.001,0.5302041859540813,0.9968508370308568,1.0145717383998722,0.14906181063930937,0.13061788534922153,6.687499854962685,7.767479435816169,34.165435560611336,34.05784303611921,228.48134535632528,35.64546756336427,36.16488399183875,276.87543627848424,8.0,11.0,53.5
0,1,7.500000000000001e-05,0.0015,0.5302041859540813,0.9968508370308568,1.0224088372790594,0.14906181063930937,0.1279395146314185,6.687499854962685,7.991345287064135,34.165435560611336,34.05784303611921,228.48134535632528,36.33218695962861,37.146349025199285,290.3430510285611,8.0,11.0,53.5
0,1,0.0001,0.002,0.5302041859540813,0.9968508370308568,1.029654704579652,0.14906181063930937,0.12713507708513394,6.687499854962685,8.098903372592918,34.165435560611336,34.05784303611921,228.48134535632528,36.985279368126804,38.082066901584504,299.54020381081347,8.0,11.0,53.5
0,1,0.00015000000000000001,0.003,0.5302041859540813,0.9968508370308568,1.042591911416999,0.14906181063930937,0.1284286071777106,6.687499854962685,8.118066016042148,34.165435560611336,34.05784303611921,228.48134535632528,38.19605939761747,39.822902575959226,310.07813174252567,8.0,11.0,53.5
0,1,0.0002,0.004,0.5302041859540813,0.9968508370308568,1.0537580890764966,0.14906181063930937,0.13145099739712238,6.687499854962685,8.01635674085471,34.165435560611336,34.05784303611921,228.48134535632528,39.28826158587659,41.40032345187085,314.9487206004049,8.0,11.0,53.5
0,1,0.00025,0.005,0.5302041859540813,0.9968508370308568,1.0634428999631955,0.14906181063930937,0.1350183880187507,6.687499854962685,7.876282005496241,34.165435560611336,34.05784303611921,228.48134535632528,40.271673932470186,42.82662571311832,317.19106072552694,8.0,11.0,53.5
0,2,1.25e-05,0.00025,0.5302041859540813,0.7917356715608701,0.8056286362601697,0.18227008211456389,0.18065958166292836,4.343750013034137,4.459373972000544,81.12193046850616,64.22712609779694,352.37338652992804,81.69040560504526,65.81213006313273,364.2880685173062,16.0,19.0,69.5
0,2,2.5e-05,0.0005,0.5302041859540813,0.7917356715608701,0.8184032465557326,0.18227008211456389,0.18034088985560495,4.343750013034137,4.538090320010123,81.12193046850616,64.22712609779694,352.37338652992804,82.22764193242344,67.29536911411763,373.15646589078926,16.0,19.0,69.5
0,2,5e-05,0.001,0.5302041859540813,0.7917356715608701,0.8409686526243079,0.18227008211456389,0.18199039921319649,4.343750013034137,4.62095064497956,81.12193046850616,64.22712609779694,352.37338652992804,83.2147448440146,69.98099184994653,384.5312288587588,16.0,19.0,69.5
0,2,7.500000000000001e-05,0.0015,0.5302041859540813,0.7917356715608701,0.8600907289130416,0.18227008211456389,0.18519565579654576,4.343750013034137,4.64422734547256,81.12193046850616,64.22712609779694,352.37338652992804,84.09528854673073,72.3295780243102,390.5576386941322,16.0,19.0,69.5
0,2,0.0001,0.002,0.5302041859540813,0.7917356715608701,0.8763121873054717,0.18227008211456389,0.18897787622651963,4.343750013034137,4.637115226414515,81.12193046850616,64.22712609779694,352.37338652992804,84.88012024357452,74.38148382939823,393.5988980013743,16.0,19.0,69.5
0,2,0.00015000000000000001,0.003,0.5302041859540813,0.7917356715608701,0.9017795681386499,0.18227008211456389,0.19650936208024944,4.343750013034137,4.588990359504531,81.12193046850616,64.22712609779694,352.37338652992804,86.20099825630933,77.73429898069514,395.5755499778704,16.0,19.0,69.5
0,2,0.0002,0.004,0.5302041859540813,0.7917356715608701,0.9201537744325502,0.18227008211456389,0.20290363113531185,4.343750013034137,4.534930051690009,81.12193046850616,64.22712609779694,352.37338652992804,87.24511138628651,80.2789185428798,395.65047748871285,16.0,19.0,69.5
0,2,0.00025,0.005,0.5302041859540813,0.7917356715608701,0.9334026035571045,0.18227008211456389,0.20791200234913176,4.343750013034137,4.48941183294319,81.12193046850616,64.22712609779694,352.37338652992804,88.0675656434063,82.20249506049164,395.37157129800937,16.0,19.0,69.5
0,3,1.25e-05,0.00025,0.5302041859540813,1.0097354594617807,0.9982516882735332,0.28343449151424427,0.26976064103752806,3.5625002943970756,3.7005090306508435,98.90827788886163,99.87119541868319,352.36076909737733,101.33886282999866,101.16169090776616,375.00537705829714,24.0,27.0,85.5
0,3,2.5e-05,0.0005,0.5302041859540813,1.0097354594617807,0.9881765632046958,0.28343449151424427,0.26064820722517446,3.5625002943970756,3.791227162943838,98.90827788886163,99.87119541868319,352.36076909737733,103.57919618747401,102.354534108043,392.6922621018403,24.0,27.0,85.5
0,3,5e-05,0.001,0.5302041859540813,1.0097354594617807,0.9714518640219152,0.28343449151424427,0.2503021268808762,3.5625002943970756,3.881117096876482,98.90827788886163,99.87119541868319,352.36076909737733,107.54501504766286,104.474805334317,417.39479658532287,24.0,27.0,85.5
0,3,7.500000000000001e-05,0.0015,0.5302041859540813,1.0097354594617807,0.9582955708904863,0.28343449151424427,0.2456534976178968,3.5625002943970756,3.9010051970889217,98.90827788886163,99.87119541868319,352.36076909737733,110.90804284505066,106.28268623454434,432.6528515375034,24.0,27.0,85.5
0,3,0.0001,0.002,0.5302041859540813,1.0097354594617807,0.9478344035861631,0.28343449151424427,0.24385732170164948,3.5625002943970756,3.886840046352202,98.90827788886163,99.87119541868319,352.36076909737733,113.75623748158415,107.82207550756324,442.15229936577265,24.0,27.0,85.5
0,3,0.00015000000000000001,0.003,0.5302041859540813,1.0097354594617807,0.9326735014874411,0.28343449151424427,0.24397017427634538,3.5625002943970756,3.8228996812987495,98.90827788886163,99.87119541868319,352.36076909737733,118.20053205348592,110.24250410800323,451.86877631661395,24.0,27.0,85.5
0,3,0.0002,0.004,0.5302041859540813,1.0097354594617807,0.9227033128627401,0.28343449151424427,0.24569897231168902,3.5625002943970756,3.7554219465444745,98.90827788886163,99.87119541868319,352.36076909737733,121.36378275320214,111.9827644079335,455.77221326703113,24.0,27.0,85.5
0,3,0.00025,0.005,0.5302041859540813,1.0097354594617807,0.916051053404863,0.28343449151424427,0.2475640255807284,3.5625002943970756,3.700259160255685,98.90827788886163,99.87119541868319,352.36076909737733,123.60304802243641,113.22670234500475,457.3633106805437,24.0,27.0,85.5
0,4,1.25e-05,0.00025,0.5302041859540813,0.7977866645275337,0.8109847415095638,0.2515189363890359,0.24721120833664548,3.1718751517522343,3.280533868048519,151.99595946318743,121.26034952179852,482.11220698802407,155.20378811493512,125.86790398569578,509.15128336047087,32.0,35.0,101.5
0,4,2.5e-05,0.0005,0.5302041859540813,0.7977866645275337,0.8220698955893545,0.2515189363890359,0.24617758770163461,3.1718751517522343,3.339336871663951,151.99595946318743,121.26034952179852,482.11220698802407,158.04347534198052,129.92278327296066,527.760404535388,32.0,35.0,101.5
0,4,5e-05,0.001,0.5302041859540813,0.7977866645275337,0.8393379277571702,0.2515189363890359,0.24871650113406948,3.1718751517522343,3.3746772889215295,151.99595946318743,121.26034952179852,482.11220698802407,162.77763700981112,136.6254445330237,549.3219947613222,32.0,35.0,101.5
