schedule_index,theta_1,theta_2,method,true_score,noisy_mean_score,noisy_per_shot_variance,cx_cost_per_evaluation
0,-3.141592653589793,-3.141592653589793,split,-0.18631293183897918,-0.1469120489959022,0.5175820719816582,8.0
0,-3.141592653589793,-3.141592653589793,dilation,-0.18631293183897918,-0.13747867869885172,0.45215217552707176,10.0
0,-3.141592653589793,-3.141592653589793,genexp,-0.18631293183897918,-0.04377507859087534,0.5591545098465411,54.0
1,-3.141592653589793,-1.5707963267948966,split,-0.18735288969045522,-0.1475169952134718,0.5368944873475092,8.0
1,-3.141592653589793,-1.5707963267948966,dilation,-0.18735288969045522,-0.13802483785408662,0.4156151373466328,10.0
1,-3.141592653589793,-1.5707963267948966,genexp,-0.18735288969045522,-0.041795551398242245,0.5673817755856296,54.0
2,-3.141592653589793,0.0,split,-0.05319273025225016,-0.043155041315858345,0.5373028796111208,8.0
2,-3.141592653589793,0.0,dilation,-0.05319273025225016,-0.040333908794205314,0.3966380443755103,10.0
2,-3.141592653589793,0.0,genexp,-0.05319273025225016,-0.010405399999745605,0.5611452822594467,54.0
3,-3.141592653589793,1.5707963267948966,split,-0.05215277240077409,-0.042570854799942937,0.5178624545639549,8.0
3,-3.141592653589793,1.5707963267948966,dilation,-0.05215277240077409,-0.039807220780377794,0.4330814021727017,10.0
3,-3.141592653589793,1.5707963267948966,genexp,-0.05215277240077409,-0.012710748007800613,0.5530345094299312,54.0
4,-3.141592653589793,3.141592653589793,split,-0.18631293183897918,-0.14691207767154146,0.5175820714723054,8.0
4,-3.141592653589793,3.141592653589793,dilation,-0.18631293183897918,-0.13747870559374234,0.45215218124420076,10.0
4,-3.141592653589793,3.141592653589793,genexp,-0.18631293183897918,-0.04377509797432896,0.5591545364697821,54.0
5,-1.5707963267948966,-3.141592653589793,split,-0.1877648886139447,-0.1442998693987868,0.5354046977064529,8.0
5,-1.5707963267948966,-3.141592653589793,dilation,-0.1877648886139447,-0.13511799943973823,0.3766075993485781,10.0
5,-1.5707963267948966,-3.141592653589793,genexp,-0.1877648886139447,-0.04824116249055962,0.5658369659626239,54.0
6,-1.5707963267948966,-1.5707963267948966,split,0.08849419910679983,0.0683373426143055,0.5710477119750329,8.0
6,-1.5707963267948966,-1.5707963267948966,dilation,0.08849419910679983,0.0639651815369946,0.43057446957552636,10.0
6,-1.5707963267948966,-1.5707963267948966,genexp,0.08849419910679983,0.018244518103200897,0.5760061990050431,54.0
7,-1.5707963267948966,0.0,split,0.21936672339493044,0.16945546253558094,0.5275120001003829,8.0
7,-1.5707963267948966,0.0,dilation,0.21936672339493044,0.15865176975776502,0.44931307035205503,10.0
