family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,1000.0,125,0.020054215266867938,0.14161290642758498,0.06348961729062677,0.2519714612622365,0.041186222853296255
jordan_gamma_1,split,1021.2508243259291,127,0.019738400853216476,0.1404934192523496,0.06313838273255856,0.2512735217498226,0.041186222853296255
jordan_gamma_1,split,1042.9532461863896,130,0.019282899295065326,0.13886287947131631,0.06263179442765252,0.25026345004345424,0.041186222853296255
jordan_gamma_1,split,1065.116862401255,133,0.018847946679387162,0.13728782422118563,0.06214805973048658,0.2492951257656005,0.041186222853296255
jordan_gamma_1,split,1087.751473730729,135,0.018568717839692536,0.1362670827444858,0.06183751399897265,0.24867149816368714,0.041186222853296255
jordan_gamma_1,split,1110.8670892092512,138,0.018165050060568785,0.13477778029248288,0.061388572887110124,0.24776717475708948,0.041186222853296255
jordan_gamma_1,split,1134.4739305714943,141,0.01777855963374817,0.13333626526098655,0.06095873565234813,0.24689822934226993,0.041186222853296255
jordan_gamma_1,split,1158.5824367724153,144,0.017408172974711752,0.13194003552641537,0.060546808302367874,0.24606261053310777,0.041186222853296255
jordan_gamma_1,split,1183.2032686033726,147,0.017052904138493145,0.1305867686195395,0.060151694313611316,0.24525842353242694,0.041186222853296255
jordan_gamma_1,split,1208.347313406328,151,0.016601171578533063,0.12884553379350433,0.059649297718636085,0.24423205710683454,0.041186222853296255
jordan_gamma_1,split,1234.0256898882342,154,0.016277772132198002,0.12758437260181202,0.05928962742905154,0.24349461478449896,0.041186222853296255
jordan_gamma_1,split,1260.2497530377339,157,0.015966731900372563,0.1263595342677891,0.058943702500852395,0.2427832418039853,0.041186222853296255
jordan_gamma_1,split,1287.031099146334,160,0.015667355677240577,0.1251693080481017,0.058610749757460716,0.24209657113941271,0.041186222853296255
jordan_gamma_1,split,1314.3815709363002,164,0.015285225050966416,0.12363343015125972,0.05818576129638353,0.2412172491684281,0.041186222853296255
jordan_gamma_1,split,1342.3132627975076,167,0.015010640169811332,0.12251791775006353,0.05788038036626819,0.24058341664850508,0.041186222853296255
