method,total_cnot_budget,trial_id,shots_per_evaluation,schedule_cx_cost,selected_theta_1,selected_theta_2,reported_best_score,selected_true_score,dense_grid_optimum_score,regret
split,19952.62314968879,0,60,328.0,0.0,0.7853981633974483,0.5291629422919666,0.34489764110741855,0.46117153202478534,0.11627389091736678
split,19952.62314968879,1,60,328.0,-0.7853981633974483,-0.7853981633974483,0.5050754171309395,0.3817483705135365,0.46117153202478534,0.07942316151124884
split,19952.62314968879,2,60,328.0,-0.39269908169872414,-0.39269908169872414,0.5236159051631863,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,3,60,328.0,0.0,0.0,0.4593716400915702,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,4,60,328.0,-0.39269908169872414,-0.39269908169872414,0.4871494585257131,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,5,60,328.0,0.39269908169872414,0.39269908169872414,0.4510247498963057,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,19952.62314968879,6,60,328.0,0.0,-0.39269908169872414,0.4907904093528041,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,7,60,328.0,0.0,0.0,0.4754217821055571,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,8,60,328.0,0.39269908169872414,0.0,0.401475087143248,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,19952.62314968879,9,60,328.0,-0.39269908169872414,0.0,0.4323763451664967,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,19952.62314968879,10,60,328.0,-0.7853981633974483,0.0,0.5289561280248248,0.3935964418743362,0.46117153202478534,0.06757509015044916
split,19952.62314968879,11,60,328.0,0.0,0.0,0.4687996784003469,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,12,60,328.0,0.39269908169872414,0.0,0.44629270297987933,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,19952.62314968879,13,60,328.0,-0.39269908169872414,0.39269908169872414,0.4064404330165758,0.39327164940875275,0.46117153202478534,0.06789988261603258
